# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
2.710000000000000000e+02,9.428910634908609090e-02,2.568575982467688934e-04,2.424828601413970414e-02,3.345570707054796311e-01,3.162277660168379134e-02,2.042292555848821765e+06,3.567419018953298219e+05,1.001246840019296647e+00
2.700000000000000000e+02,9.572625341561144530e-02,2.627902775019542460e-04,2.441423091640851709e-02,3.394837025165848843e-01,3.162277660168379134e-02,2.035261963057389949e+06,3.548557117996025481e+05,1.002645284176265639e+00
2.690000000000000000e+02,9.716952084343823126e-02,2.681404230418390718e-04,2.458185523588945348e-02,3.444313153166128627e-01,3.162277660168379134e-02,2.028232342459728010e+06,3.529614890083091450e+05,1.001486278437726307e+00
2.680000000000000000e+02,9.861897162775294656e-02,2.739759667297731426e-04,2.475118107726869549e-02,3.494001250570810124e-01,3.162277660168379134e-02,2.021203712882852415e+06,3.510591508431354887e+05,1.001828735679161531e+00
2.670000000000000000e+02,1.000746696111183831e-01,2.791169704235380109e-04,2.492223089865040417e-02,3.543903505943666321e-01,3.162277660168379134e-02,2.014176093383757630e+06,3.491486135136243538e+05,9.993495906421778763e-01
2.660000000000000000e+02,1.015366794974041642e-01,2.855824756967129141e-04,2.509502751810616800e-02,3.594022137374618953e-01,3.162277660168379134e-02,2.007149503253337229e+06,3.472297920988926780e+05,1.001297495958317407e+00
2.650000000000000000e+02,1.030050668659836105e-01,2.910877061393068446e-04,2.526959412035994709e-02,3.644359392966415312e-01,3.162277660168379134e-02,2.000123962020386243e+06,3.453026005289985915e+05,9.995497123037545562e-01
2.640000000000000000e+02,1.044798981862086196e-01,2.976888397888423615e-04,2.544595426361143109e-02,3.694917551330834105e-01,3.162277660168379134e-02,1.993099489455679432e+06,3.433669515659439494e+05,1.001242000451399328e+00
2.630000000000000000e+02,1.059612408321563143e-01,3.025208093760638618e-04,2.562413188650092960e-02,3.739912342708336945e-01,3.162277660168379134e-02,1.986076105576136848e+06,3.342761280041174614e+05,9.982622988297066291e-01
2.620000000000000000e+02,1.074491630976665002e-01,3.090751677399700440e-04,2.580415131521884495e-02,3.783984043993307012e-01,3.162277660168379134e-02,1.979053830649071606e+06,3.237580537428926909e+05,1.000979624479128693e+00
2.610000000000000000e+02,1.089437342116693908e-01,3.153760829542270080e-04,2.598603727076308559e-02,3.828252681685139214e-01,3.162277660168379134e-02,1.972032685196525184e+06,3.131929789872072288e+05,1.002508589644385717e+00
2.600000000000000000e+02,1.104450243538132870e-01,3.202491808523587401e-04,2.616981487634758435e-02,3.872720334478781390e-01,3.162277660168379134e-02,1.965012689999691909e+06,3.025804076394023723e+05,9.992432913492472757e-01
2.590000000000000000e+02,1.119531046703900884e-01,3.260176334866264430e-04,2.635550966496535974e-02,3.917389109700803451e-01,3.162277660168379134e-02,1.957993866103431908e+06,2.919198367686469574e+05,9.985572286256158003e-01
2.580000000000000000e+02,1.134680472905831711e-01,3.320552996177778449e-04,2.654314758710944744e-02,3.962261143790652973e-01,3.162277660168379134e-02,1.950976234820882557e+06,2.812107564960819436e+05,9.984237393233899027e-01
2.570000000000000000e+02,1.149899253430213958e-01,3.386062830513933896e-04,2.673275501865545606e-02,4.007338602790980198e-01,3.162277660168379134e-02,1.943959817738156067e+06,2.704526498778003734e+05,9.995286659591093859e-01
2.560000000000000000e+02,1.165188129726676819e-01,3.444406731102491273e-04,2.692435876890894933e-02,4.052623682847870112e-01,3.162277660168379134e-02,1.936944636719145812e+06,2.596449927854631969e+05,9.982349754341390824e-01
2.550000000000000000e+02,1.180547853580353607e-01,3.517793244697074305e-04,2.711798608882182854e-02,4.098118610720783428e-01,3.162277660168379134e-02,1.929930713910419960e+06,2.487872537845964544e+05,1.000986805944009239e+00
2.540000000000000000e+02,1.195979187287429663e-01,3.575905626709144423e-04,2.731366467938088627e-02,4.143825644302524536e-01,3.162277660168379134e-02,1.922918071746229194e+06,2.378788940104979556e+05,9.990899755457636200e-01
2.530000000000000000e+02,1.211482903834216196e-01,3.641364758368357385e-04,2.751142270017297581e-02,4.189747073149652223e-01,3.162277660168379134e-02,1.915906732953609200e+06,2.269193670416500536e+05,9.989950327516121664e-01
2.520000000000000000e+02,1.227059787079707170e-01,3.715720243295033364e-04,2.771128877813022751e-02,4.233730079827409121e-01,3.162277660168379134e-02,1.908896720557594905e+06,2.175258206551519397e+05,1.001528052187699469e+00
2.510000000000000000e+02,1.242710631941832539e-01,3.759442237846828596e-04,2.791329201645953786e-02,4.273758195563007733e-01,3.162277660168379134e-02,1.901888057886545081e+06,2.112130726505280763e+05,9.965576121820437505e-01
2.500000000000000000e+02,1.258436244587322062e-01,3.836076172526126310e-04,2.811746200376039409e-02,4.313977535063979185e-01,3.162277660168379134e-02,1.894880768577576848e+06,2.048701671573212952e+05,1.000076509060260577e+00
2.490000000000000000e+02,1.274237442625495986e-01,3.907635568401425985e-04,2.832382882333531193e-02,4.354390189422579494e-01,3.162277660168379134e-02,1.887874876582114259e+06,1.984967743938712520e+05,1.001923931637152432e+00
2.480000000000000000e+02,1.290115055305809388e-01,3.965504970934137030e-04,2.853242306269689402e-02,4.394998279501512450e-01,3.162277660168379134e-02,1.880870406171557494e+06,1.920925598834842676e+05,1.000002611948042741e+00
2.470000000000000000e+02,1.306069923719422876e-01,4.027695615259891510e-04,2.874327582327620284e-02,4.435803956449462793e-01,3.162277660168379134e-02,1.873867381943071727e+06,1.856571843731300032e+05,9.989598553784631019e-01
2.460000000000000000e+02,1.322102901004809372e-01,4.089690257034364704e-04,2.895641873033664992e-02,4.476809402226945567e-01,3.162277660168379134e-02,1.866865828825497068e+06,1.791903037505104439e+05,9.976471442734953232e-01
2.450000000000000000e+02,1.338214852557508827e-01,4.176247244686778770e-04,2.917188394309807795e-02,4.518016830142772000e-01,3.162277660168379134e-02,1.859865772085387725e+06,1.726915689594553551e+05,1.002014210305882669e+00
2.440000000000000000e+02,1.354406656244112883e-01,4.250279361065606703e-04,2.938970416507565714e-02,4.559428485401328390e-01,3.162277660168379134e-02,1.852867237333180616e+06,1.661606259136119625e+05,1.003025220988826849e+00
2.430000000000000000e+02,1.370679202620588288e-01,4.307408959856079043e-04,2.960991265463845321e-02,4.601046645660953338e-01,3.162277660168379134e-02,1.845870250529492740e+06,1.595971154083845322e+05,9.998212078822317217e-01
2.420000000000000000e+02,1.387033395155027049e-01,4.378259152380781184e-04,2.983254323579215272e-02,4.642873621603635925e-01,3.162277660168379134e-02,1.838874837991561042e+06,1.530006730310883140e+05,9.995955707948434021e-01
2.410000000000000000e+02,1.403470150454921572e-01,4.444296779869063999e-04,3.005763030919139309e-02,4.682452015154972003e-01,3.162277660168379134e-02,1.831881026399816386e+06,1.488269983000102511e+05,9.985618695159086400e-01
2.400000000000000000e+02,1.419990398499089146e-01,4.543774403690721574e-04,3.028520886338650214e-02,4.719065147827002926e-01,3.162277660168379134e-02,1.824888842804601882e+06,1.477936993153620570e+05,1.005379937686581737e+00
2.390000000000000000e+02,1.436595082874317364e-01,4.590582254028957110e-04,3.051531448630961235e-02,4.755865413197234992e-01,3.162277660168379134e-02,1.817898314633037196e+06,1.467551190555829962e+05,1.000277194648326207e+00
2.380000000000000000e+02,1.453285161016865390e-01,4.662050982630652459e-04,3.074798337700577686e-02,4.792854933191483258e-01,3.162277660168379134e-02,1.810909469696035143e+06,1.457111976354998478e+05,1.000382524778403281e+00
2.370000000000000000e+02,1.470061604458920146e-01,4.721215440624697062e-04,3.098325235761420146e-02,4.830035860975774309e-01,3.162277660168379134e-02,1.803922336195467738e+06,1.446618742882754887e+05,9.976459853537257283e-01
2.360000000000000000e+02,1.486925399080118448e-01,4.818224952311942377e-04,3.122115888560516445e-02,4.867410381513787576e-01,3.162277660168379134e-02,1.796936942731493618e+06,1.436070873496767599e+05,1.002628600436423767e+00
2.350000000000000000e+02,1.503877545364253610e-01,4.878152827497785103e-04,3.146174106627828287e-02,4.904980712135780796e-01,3.162277660168379134e-02,1.789953318310043076e+06,1.425467742420180584e+05,9.996209415618818594e-01
2.340000000000000000e+02,1.520919058661306666e-01,4.951387026665237095e-04,3.170503766552743713e-02,4.942749103119320475e-01,3.162277660168379134e-02,1.782971492350473534e+06,1.414808714577720384e+05,9.991484868013736920e-01
2.330000000000000000e+02,1.538050969454862194e-01,5.027623246962436556e-04,3.195108812287880684e-02,4.980717838281943921e-01,3.162277660168379134e-02,1.775991494693389861e+06,1.404093145428434073e+05,9.990451903589161464e-01
2.320000000000000000e+02,1.555274323635130462e-01,5.114668538412798235e-04,3.219993256480720850e-02,5.018889235586245778e-01,3.162277660168379134e-02,1.769013355608640239e+06,1.393320380794921075e+05,1.000817569251965189e+00
2.310000000000000000e+02,1.572590182777586221e-01,5.200307942529347905e-04,3.245161181833735448e-02,5.056753595919886157e-01,3.162277660168379134e-02,1.762037105803493643e+06,1.378452462924538413e+05,1.002122924956018402e+00
2.300000000000000000e+02,1.589999624427454183e-01,5.269120268418563601e-04,3.270616742493591411e-02,5.090367928200659753e-01,3.162277660168379134e-02,1.755062776430992642e+06,1.328381213331509207e+05,1.000827619553716463e+00
2.290000000000000000e+02,1.607503742390151702e-01,5.324353229185346250e-04,3.296364165470040686e-02,5.124165062497865186e-01,3.162277660168379134e-02,1.748090399098502006e+06,1.278037665442786383e+05,9.968012282561397042e-01
2.280000000000000000e+02,1.625103647027758003e-01,5.417527339574201763e-04,3.322407752085178995e-02,5.158147142710236555e-01,3.162277660168379134e-02,1.741120005876443814e+06,1.227418625748898048e+05,9.996649228443956758e-01
2.270000000000000000e+02,1.642800465561740086e-01,5.503905262633581891e-04,3.348751879453681912e-02,5.192316345288787716e-01,3.162277660168379134e-02,1.734151629307233263e+06,1.176520852251131582e+05,1.000983307620107787e+00
2.260000000000000000e+02,1.660595342382055750e-01,5.593937975609479920e-04,3.375401001994691313e-02,5.226674879833637100e-01,3.162277660168379134e-02,1.727185302414413309e+06,1.125341053572522360e+05,1.002690235436009658e+00
2.250000000000000000e+02,1.678489439362728097e-01,5.658861135241962650e-04,3.402359652976028742e-02,5.261224989703314758e-01,3.162277660168379134e-02,1.720221058712000260e+06,1.073875888050231588e+05,9.996821622348223135e-01
2.240000000000000000e+02,1.696483936184096930e-01,5.718781037788659826e-04,3.429632446091401138e-02,5.295968952636979088e-01,3.162277660168379134e-02,1.713258932214039611e+06,1.022121962808719691e+05,9.956586219802834314e-01
